Unique Data,Counts
Dedicated 100/20/UP,14
TRIAL Classic 75/15/UG,11
Classic 30/6/UG,11
Classic 50/10/UG,10
Dedicated 50/10/UP,9
Entry 75/15/500B,8
Trial PDI-IPC 75/15/UPD,8
Classic 75/15/UG,5
IP Access 50-10,4
Dedicated 75/15/UP,4
Trial Entry 75/15/500B,3
TRIAL AST5G OCEAN 75/15/2500S,2
Trial AST5G-ENT 125/25/500B,2
Trial RN-GW 25/5/UG,2
TRIAL AST5G OCEAN CREW 100/20/3000B,2
MARLINKTEST Entry 75/15/500B,2
Trial PDI-IPC 20/4/UPD,1
Trial GBA-ENT 50/10US (Unlimited Silver),1
TRIAL Classic 50/10/UG,1
