Column Names,Data Type,Valid Values,Missing Values,Max String Length,Min String Length,Oldest Date,Newest Date,Min,Max,Mean,Median,Mode,Standard Deviation,Skew,Sum,first quartile (25%),second quartile (50%),third quartile (75 %),interquartile range,Variance,Kurtosis,Mean absolute deviation
DIST_PARTNER,string,100,0,35,9,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
SITE_CONNECTIVITY_PRODUCT,string,100,0,40,15,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
MARKET_OFFER,Int64,0,100,0,0,0,0,,,,,0.0,,,0.0,,,,,,,
UT_IMEI,Int64,100,0,0,0,0,0,35155411000014,35155411002055,35155411000336.78,35155411000219.5,35155411000433.0,429.25779450464546,2.7698118712297344,3515541100033678.0,35155411000070.0,35155411000219.5,35155411000438.25,368.25,184262.25414299243,8.439738168093596,266.47875
DIRECTION,string,100,0,8,6,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
COS,string,100,0,2,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
MEASUREMENT_INTERVAL_MINS,Int64,100,0,0,0,0,0,5,60,29.2,5.0,5.0,27.438820836342238,0.24544399767467565,2920.0,5.0,5.0,60.0,55.0,752.8888888888889,-1.9797646599140386,27.104000000000042
CIR_OF_MIR_TARGET,Int64,100,0,0,0,0,0,0,100,50.2,30.0,100.0,45.37119630939276,0.11915432965309608,5020.0,0.0,30.0,100.0,100.0,2058.545454545455,-1.8816343381994798,43.82400000000009
DAY,datetime64[ns],100,0,0,0,2022-04-27 00:00:00,2022-04-27 00:00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
INTERVAL,string,100,0,13,13,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
START_TIME,datetime64[ns],100,0,0,0,2022-06-01 00:00:00,2022-06-01 00:00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
END_TIME,datetime64[ns],100,0,0,0,2022-06-01 00:05:00,2022-06-01 01:00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
START_TIMESTAMP,"datetime64[ns, UTC]",100,0,0,0,2022-04-27 00:00:00+00:00,2022-04-27 00:00:00+00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
END_TIMESTAMP,"datetime64[ns, UTC]",100,0,0,0,2022-04-27 00:05:00+00:00,2022-04-27 01:00:00+00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
MEASUREMENTS_TAKEN_WITHIN_INTERVAL,Int64,100,0,0,0,0,0,2,886,325.23,54.0,52.0,332.1808213621131,0.47126169870759116,32523.0,42.0,54.0,622.25,580.25,110344.0980808081,-1.5625959381326535,314.2422
CIR_OF_MIR_TARGET_MBPS,Int64,100,0,0,0,0,0,0,100,21.23,10.0,0.0,27.744452534959965,1.4308898927800695,2123.0,0.0,10.0,30.0,30.0,769.7546464646464,0.8905027168458957,21.55120000000001
ACTUAL_USED_BANDWIDTH_MBPS,float64,100,0,0,0,0,0,0.0,44.903608608,0.7240347469201217,0.0,0.0,4.585348078425755,9.262288522378075,72.40347469201218,0.0,0.0,0.00487471432675,0.00487471432675,21.025417000322765,89.45843553083874,1.2814383534911824
ACTUAL_AVAILABLE_BANDWIDTH_MBPS,float64,100,0,0,0,0,0,0.0,28.610229492,5.040512084929998,1.5525817869999998,0.0,7.195545943590046,1.7851542929291502,504.051208493,0.0,1.5525817869999998,5.722045897999999,5.722045897999999,51.775881426315166,2.896832109964611,5.3162963866504045
TARGET_MET,string,100,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
INGEST_TIME,"datetime64[ns, UTC]",100,0,0,0,2022-04-28 04:06:59.312000+00:00,2022-04-28 04:06:59.312000+00:00,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
SOURCE_FILENAME,string,100,0,56,56,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
